Member of Parliament,Political Affiliation,Member Voted,Paired
Mr. Ziad Aboultaif (Edmonton Manning),Conservative,Yea,
Mr. Scott Aitchison (Parry Sound—Muskoka),Conservative,Yea,
Mr. Dan Albas (Central Okanagan—Similkameen—Nicola),Conservative,Yea,
Mr. John Aldag (Cloverdale—Langley City),Liberal,Nay,
Mr. Omar Alghabra (Mississauga Centre),Liberal,Nay,
Mr. Shafqat Ali (Brampton Centre),Liberal,Nay,
Mr. Dean Allison (Niagara West),Conservative,Yea,
Ms. Anita Anand (Oakville),Liberal,Nay,
Mr. Gary Anandasangaree (Scarborough—Rouge Park),Liberal,Nay,
Mr. Charlie Angus (Timmins—James Bay),NDP,Nay,
Mr. Mel Arnold (North Okanagan—Shuswap),Conservative,Yea,
Mr. René Arseneault (Madawaska—Restigouche),Liberal,Nay,
Mr. Chandra Arya (Nepean),Liberal,Nay,
Ms. Niki Ashton (Churchill—Keewatinook Aski),NDP,Nay,
Mrs. Jenica Atwin (Fredericton),Liberal,Nay,
Mr. Taylor Bachrach (Skeena—Bulkley Valley),NDP,Nay,
Mr. Vance Badawey (Niagara Centre),Liberal,Nay,
Mr. Parm Bains (Steveston—Richmond East),Liberal,Nay,
Mr. Yvan Baker (Etobicoke Centre),Liberal,Nay,
Mr. Tony Baldinelli (Niagara Falls),Conservative,Yea,
Mr. John Barlow (Foothills),Conservative,Yea,
Mr. Michael Barrett (Leeds—Grenville—Thousand Islands and Rideau Lakes),Conservative,Yea,
Ms. Lisa Marie Barron (Nanaimo—Ladysmith),NDP,Nay,
Mr. Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères),Bloc Québécois,Nay,
Mr. Jaime Battiste (Sydney—Victoria),Liberal,Nay,
Mr. Mario Beaulieu (La Pointe-de-l'Île),Bloc Québécois,Nay,
Mr. Terry Beech (Burnaby North—Seymour),Liberal,Nay,
Ms. Rachel Bendayan (Outremont),Liberal,Nay,
Mr. Stéphane Bergeron (Montarville),Bloc Québécois,,Paired
Mr. Luc Berthold (Mégantic—L'Érable),Conservative,Yea,
Ms. Sylvie Bérubé (Abitibi—Baie-James—Nunavik—Eeyou),Bloc Québécois,Nay,
Mr. James Bezan (Selkirk—Interlake—Eastman),Conservative,Yea,
Ms. Marie-Claude Bibeau (Compton—Stanstead),Liberal,Nay,
Mr. Chris Bittle (St. Catharines),Liberal,Nay,
Mr. Daniel Blaikie (Elmwood—Transcona),NDP,Nay,
Mr. Bill Blair (Scarborough Southwest),Liberal,Nay,
Mr. Yves-François Blanchet (Beloeil—Chambly),Bloc Québécois,Nay,
Mr. Maxime Blanchette-Joncas (Rimouski-Neigette—Témiscouata—Les Basques),Bloc Québécois,Nay,
Mrs. Kelly Block (Carlton Trail—Eagle Creek),Conservative,Yea,
Mr. Kody Blois (Kings—Hants),Liberal,Nay,
Mr. Randy Boissonnault (Edmonton Centre),Liberal,Nay,
Mr. Alexandre Boulerice (Rosemont—La Petite-Patrie),NDP,Nay,
Ms. Valerie Bradford (Kitchener South—Hespeler),Liberal,Nay,
Mr. Richard Bragdon (Tobique—Mactaquac),Conservative,Yea,
Mr. John Brassard (Barrie—Innisfil),Conservative,Yea,
Mrs. Élisabeth Brière (Sherbrooke),Liberal,Nay,
Mr. Larry Brock (Brantford—Brant),Conservative,Yea,
Mr. Alexis Brunelle-Duceppe (Lac-Saint-Jean),Bloc Québécois,Nay,
Mr. Blaine Calkins (Red Deer—Lacombe),Conservative,Yea,
Mr. Richard Cannings (South Okanagan—West Kootenay),NDP,Nay,
Mr. Frank Caputo (Kamloops—Thompson—Cariboo),Conservative,Yea,
Mr. Colin Carrie (Oshawa),Conservative,Yea,
Mr. Sean Casey (Charlottetown),Liberal,Nay,
Ms. Louise Chabot (Thérèse-De Blainville),Bloc Québécois,Nay,
Ms. Bardish Chagger (Waterloo),Liberal,Nay,
Mr. George Chahal (Calgary Skyview),Liberal,Nay,
Mr. Adam Chambers (Simcoe North),Conservative,Yea,
Mr. François-Philippe Champagne (Saint-Maurice—Champlain),Liberal,Nay,
Mr. Martin Champoux (Drummond),Bloc Québécois,Nay,
Mrs. Sophie Chatel (Pontiac),Liberal,Nay,
Mr. Shaun Chen (Scarborough North),Liberal,Nay,
Mr. Paul Chiang (Markham—Unionville),Liberal,Nay,
Mr. Michael Chong (Wellington—Halton Hills),Conservative,Yea,
Mr. Chad Collins (Hamilton East—Stoney Creek),Liberal,Nay,
Ms. Laurel Collins (Victoria),NDP,Nay,
Mr. Michael Cooper (St. Albert—Edmonton),Conservative,Yea,
Mr. Serge Cormier (Acadie—Bathurst),Liberal,Nay,
